         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.77828e+01 2.56134e+03 1.49556e-03 3.92994e-04 4.09018e-04 9.12195e-01 8.32100e-01 7.64072e-04 8.31742e-01 2.00000e-17 4.26699e-27 4.26717e-27 
1.99526e+01 2.65754e+03 1.96527e-03 3.49746e-04 3.65771e-04 9.09254e-01 8.26743e-01 6.46388e-04 8.26268e-01 1.96572e-17 4.33072e-27 4.33088e-27 
2.23872e+01 2.75493e+03 2.50666e-03 3.07785e-04 3.23811e-04 9.06219e-01 8.21234e-01 5.55188e-04 8.20619e-01 1.89898e-17 4.36782e-27 4.36787e-27 
2.51189e+01 2.86330e+03 3.35758e-03 2.70538e-04 2.86568e-04 9.03089e-01 8.15569e-01 4.64396e-04 8.14737e-01 1.83451e-17 4.40416e-27 4.40390e-27 
2.81838e+01 2.98380e+03 4.37904e-03 2.37486e-04 2.53520e-04 8.99860e-01 8.09747e-01 3.93477e-04 8.08644e-01 1.77223e-17 4.43737e-27 4.43675e-27 
3.16228e+01 3.11680e+03 5.74273e-03 2.08102e-04 2.24141e-04 8.96529e-01 8.03764e-01 3.31946e-04 8.02292e-01 1.71207e-17 4.46794e-27 4.46779e-27 
3.54813e+01 3.26266e+03 7.53764e-03 1.82032e-04 1.98078e-04 8.93094e-01 7.97618e-01 2.79420e-04 7.95649e-01 1.65394e-17 4.49609e-27 4.49588e-27 
3.98107e+01 3.42244e+03 9.84423e-03 1.58884e-04 1.74938e-04 8.89553e-01 7.91304e-01 2.35365e-04 7.88682e-01 1.59779e-17 4.52167e-27 4.52111e-27 
4.46684e+01 3.59660e+03 1.29076e-02 1.38300e-04 1.54364e-04 8.85902e-01 7.84822e-01 1.97366e-04 7.81313e-01 1.54355e-17 4.54397e-27 4.54392e-27 
5.01187e+01 3.78586e+03 1.69013e-02 1.20021e-04 1.36099e-04 8.82138e-01 7.78168e-01 1.65172e-04 7.73477e-01 1.49115e-17 4.56340e-27 4.56332e-27 
5.62341e+01 3.99065e+03 2.21455e-02 1.03770e-04 1.19863e-04 8.78259e-01 7.71339e-01 1.37742e-04 7.65064e-01 1.44053e-17 4.57922e-27 4.57915e-27 
6.30957e+01 4.21110e+03 2.90170e-02 8.93111e-05 1.05423e-04 8.74262e-01 7.64333e-01 1.14449e-04 7.55939e-01 1.39162e-17 4.59081e-27 4.59072e-27 
7.07946e+01 4.44702e+03 3.79680e-02 7.64358e-05 9.25705e-05 8.70143e-01 7.57149e-01 9.47724e-05 7.45939e-01 1.34438e-17 4.59733e-27 4.59723e-27 
7.94328e+01 4.69758e+03 4.95219e-02 6.49621e-05 8.11240e-05 8.65900e-01 7.49782e-01 7.82536e-05 7.34872e-01 1.29874e-17 4.59772e-27 4.59762e-27 
